Rank,Player,Age,Tm,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM
1,Nikola Jokic,25,DEN,72,47,8,34.6,26.4,10.8,8.3,1.3,0.7,0.566,0.388,0.868,15.6,0.301,8.6,11.7
2,Joel Embiid,26,PHI,51,49,1,31.1,28.5,10.6,2.8,1,1.4,0.513,0.377,0.859,8.8,0.266,3.7,7.2
3,Stephen Curry,32,GSW,63,39,7,34.2,32,5.5,5.8,1.2,0.1,0.482,0.421,0.916,9,0.201,5.5,8.1
4,Giannis Antetokounmpo,26,MIL,61,46,3,33,28.1,11,5.9,1.2,1.2,0.569,0.303,0.685,10.2,0.244,5.5,8.8
5,Chris Paul,35,PHO,70,51,9,31.4,16.4,4.5,8.9,1.4,0.3,0.499,0.395,0.934,9.2,0.201,3.7,4.7
6,Luka Doncic,21,DAL,66,42,4,34.3,27.7,8,8.6,1,0.5,0.479,0.35,0.73,7.7,0.163,5,6.7
7,Damian Lillard,30,POR,67,42,11,35.8,28.8,4.2,7.5,0.9,0.3,0.451,0.391,0.928,10.4,0.209,4.8,5.9
8,Julius Randle,26,NYK,71,41,6,37.6,24.1,10.2,6,0.9,0.3,0.456,0.411,0.811,7.8,0.14,3.8,3.7
9,Derrick Rose,32,TOT,50,41,3,25.6,14.7,2.6,4.2,1,0.4,0.47,0.388,0.866,3.1,0.118,0.9,1.9
10,Rudy Gobert,28,UTA,71,52,2,30.8,14.3,13.5,1.3,0.6,2.7,0.675,0,0.623,11.3,0.248,1,4.3
